page,query,clicks,impressions,ctr,position
https://palworld-chi.vercel.app/en/guide/world-tree,world tree bosses palworld,2,19,0.1053,7.6
https://palworld-chi.vercel.app/en/guide/world-tree,8th key sphere palworld,1,1,1,6
https://palworld-chi.vercel.app/en/pal/blazamut/location,palworld blazamut spawn location,1,1,1,8
https://palworld-chi.vercel.app/en/pal/penking/location,penking palworld location,1,2,0.5,7
https://palworld-chi.vercel.app/de/pal/anubis/location,anubis location palworld,0,1,0,10
https://palworld-chi.vercel.app/de/pal/anubis/location,palworld anubis coordinates,0,1,0,5
https://palworld-chi.vercel.app/de/pal/anubis/location,palworld anubis location,0,1,0,10
https://palworld-chi.vercel.app/de/pal/anubis/location,where does anubis spawn palworld,0,1,0,53
https://palworld-chi.vercel.app/de/pal/celesdir,celesdir location,0,1,0,69
https://palworld-chi.vercel.app/de/pal/faleris,farelis,0,2,0,51
https://palworld-chi.vercel.app/de/pal/gildane,gildane,0,1,0,50
https://palworld-chi.vercel.app/de/pal/gildane,gildane palworld,0,2,0,60.5
https://palworld-chi.vercel.app/de/pal/mau-cryst,mau cryst palworld,0,1,0,57
https://palworld-chi.vercel.app/de/pal/mau-cryst,palworld mau cryst,0,1,0,46
https://palworld-chi.vercel.app/de/pal/mau-cryst,palworld mau cryst location,0,1,0,59
https://palworld-chi.vercel.app/de/pal/suzaku,suzaku palworld,0,1,0,67
https://palworld-chi.vercel.app/de/pal/sweepa,sweepa palworld,0,1,0,61
https://palworld-chi.vercel.app/de/pal/yakumo/breeding,palworld yakumo breed,0,1,0,65
https://palworld-chi.vercel.app/en/guide/breeding,pal breeding,0,1,0,75
https://palworld-chi.vercel.app/en/guide/breeding,palworld breeding,0,1,0,91
https://palworld-chi.vercel.app/en/guide/endgame,80,0,1,0,3
https://palworld-chi.vercel.app/en/guide/endgame,end game palworld,0,1,0,10
https://palworld-chi.vercel.app/en/guide/endgame,endgame accessories palworld,0,1,0,11
https://palworld-chi.vercel.app/en/guide/endgame,pal world end game,0,1,0,8
https://palworld-chi.vercel.app/en/guide/endgame,palworld end game accessories,0,1,0,9
https://palworld-chi.vercel.app/en/guide/endgame,palworld end game armor,0,1,0,11
https://palworld-chi.vercel.app/en/guide/endgame,palworld end game materials,0,1,0,5
https://palworld-chi.vercel.app/en/guide/endgame,palworld end game weapons,0,1,0,39
https://palworld-chi.vercel.app/en/guide/endgame,palworld endgame,0,2,0,9
https://palworld-chi.vercel.app/en/guide/endgame,palworld endgame accessories,0,4,0,8
https://palworld-chi.vercel.app/en/guide/endgame,palworld endgame checklist,0,1,0,7
https://palworld-chi.vercel.app/en/guide/endgame,palworld endgame equipment,0,3,0,3
https://palworld-chi.vercel.app/en/guide/endgame,palworld endgame gear,0,4,0,4
https://palworld-chi.vercel.app/en/guide/endgame,palworld endgame guide,0,10,0,6.4
https://palworld-chi.vercel.app/en/guide/endgame,palworld endgame materials,0,2,0,6
https://palworld-chi.vercel.app/en/guide/endgame,palworld late game materials,0,2,0,5.5
https://palworld-chi.vercel.app/en/guide/mobile,palworld mobile,0,1,0,8
https://palworld-chi.vercel.app/en/guide/money,palworld 金幣,0,2,0,8
https://palworld-chi.vercel.app/en/guide/world-tree,all bosses in the world tree palworld,0,1,0,7
https://palworld-chi.vercel.app/en/guide/world-tree,all bosses world tree palworld,0,1,0,6
https://palworld-chi.vercel.app/en/guide/world-tree,all pals found in the world tree,0,2,0,26.5
https://palworld-chi.vercel.app/en/guide/world-tree,all world tree bosses palworld,0,1,0,10
https://palworld-chi.vercel.app/en/guide/world-tree,electric pals world tree,0,2,0,8.5
https://palworld-chi.vercel.app/en/guide/world-tree,fire pals world tree,0,1,0,10
https://palworld-chi.vercel.app/en/guide/world-tree,ground pals in the world tree,0,1,0,10
https://palworld-chi.vercel.app/en/guide/world-tree,ground pals world tree,0,1,0,11
https://palworld-chi.vercel.app/en/guide/world-tree,ground type pals world tree,0,1,0,10
https://palworld-chi.vercel.app/en/guide/world-tree,palworld 8 türme,0,1,0,10
https://palworld-chi.vercel.app/en/guide/world-tree,palworld all bosses in world tree,0,1,0,10
https://palworld-chi.vercel.app/en/guide/world-tree,palworld best world tree pals,0,1,0,24
https://palworld-chi.vercel.app/en/guide/world-tree,palworld boss world tree,0,1,0,9
https://palworld-chi.vercel.app/en/guide/world-tree,palworld final boss world tree,0,2,0,10.5
https://palworld-chi.vercel.app/en/guide/world-tree,palworld hard mode world tree,0,1,0,5
https://palworld-chi.vercel.app/en/guide/world-tree,palworld shadowbeak world tree,0,2,0,7
https://palworld-chi.vercel.app/en/guide/world-tree,palworld tower 8,0,1,0,10
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree,0,5,0,28.4
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree all bosses,0,4,0,6.5
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree awakening,0,1,0,11
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree blueprints,0,1,0,7
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree boss guide,0,2,0,8.5
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree boss locations,0,1,0,8
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree boss type,0,1,0,7
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree boss weakness,0,2,0,8.5
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree electric pals,0,3,0,8.3
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree final boss weakness,0,2,0,9.5
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree guide,0,4,0,9.5
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree level,0,2,0,10
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree mini bosses,0,4,0,6
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree pals,0,1,0,24
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree progression,0,1,0,11
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree quest,0,1,0,10
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree quests,0,2,0,8
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree tower boss,0,1,0,9
https://palworld-chi.vercel.app/en/guide/world-tree,palworld world tree wiki,0,2,0,5.5
https://palworld-chi.vercel.app/en/guide/world-tree,what level are the pals in the world tree,0,2,0,8.5
https://palworld-chi.vercel.app/en/guide/world-tree,what level for world tree palworld,0,2,0,10
https://palworld-chi.vercel.app/en/guide/world-tree,what level is the world tree palworld,0,1,0,8
https://palworld-chi.vercel.app/en/guide/world-tree,world tree awakened pal spawns,0,2,0,9
https://palworld-chi.vercel.app/en/guide/world-tree,world tree boss pals,0,3,0,10.3
https://palworld-chi.vercel.app/en/guide/world-tree,world tree boss palworld,0,6,0,7.7
https://palworld-chi.vercel.app/en/guide/world-tree,world tree boss weakness palworld,0,2,0,11
https://palworld-chi.vercel.app/en/guide/world-tree,world tree electric pals,0,1,0,11
https://palworld-chi.vercel.app/en/guide/world-tree,world tree final boss weakness,0,1,0,9
https://palworld-chi.vercel.app/en/guide/world-tree,world tree guide palworld,0,3,0,8.7
https://palworld-chi.vercel.app/en/guide/world-tree,world tree pal types,0,1,0,9
https://palworld-chi.vercel.app/en/guide/world-tree,world tree palworld wiki,0,3,0,6.3
https://palworld-chi.vercel.app/en/guide/world-tree,world tree towers palworld,0,1,0,11
https://palworld-chi.vercel.app/en/items?category=Material,palworld wiki item,0,1,0,10
https://palworld-chi.vercel.app/en/pal/astegon/location,astegon location,0,41,0,8.6
https://palworld-chi.vercel.app/en/pal/astegon/location,astegon location palworld,0,22,0,7.8
https://palworld-chi.vercel.app/en/pal/astegon/location,astegon not spawning palworld,0,1,0,9
https://palworld-chi.vercel.app/en/pal/astegon/location,astegon palworld location,0,36,0,8.7
https://palworld-chi.vercel.app/en/pal/astegon/location,astegon palworld location map,0,3,0,18.3
https://palworld-chi.vercel.app/en/pal/astegon/location,astegon palworld spawn,0,1,0,6
https://palworld-chi.vercel.app/en/pal/astegon/location,astegon spawn,0,1,0,9
https://palworld-chi.vercel.app/en/pal/astegon/location,astegon spawn palworld,0,1,0,10
https://palworld-chi.vercel.app/en/pal/astegon/location,how to find astegon palworld,0,1,0,16
https://palworld-chi.vercel.app/en/pal/astegon/location,palworld astegon location,0,16,0,10.7
https://palworld-chi.vercel.app/en/pal/astegon/location,palworld astegon spawn,0,2,0,10
https://palworld-chi.vercel.app/en/pal/astegon/location,where does astegon spawn,0,1,0,9
https://palworld-chi.vercel.app/en/pal/astegon/location,where to find astegon,0,1,0,11
https://palworld-chi.vercel.app/en/pal/beegarde,beegarde palworld,0,1,0,65
https://palworld-chi.vercel.app/en/pal/blazamut,blazamut,0,1,0,72
https://palworld-chi.vercel.app/en/pal/blazamut,blazamut palworld,0,1,0,64
https://palworld-chi.vercel.app/en/pal/blazamut,palworld blazamut,0,2,0,49.5
https://palworld-chi.vercel.app/en/pal/blazamut/location,blazamut location,0,1,0,7
https://palworld-chi.vercel.app/en/pal/blazamut/location,blazamut spawn,0,2,0,9
https://palworld-chi.vercel.app/en/pal/blazamut/location,blazamut spawn location,0,1,0,10
https://palworld-chi.vercel.app/en/pal/blazamut/location,blazamut spawn location palworld,0,1,0,10
https://palworld-chi.vercel.app/en/pal/blazamut/location,blazamut spawn locations,0,1,0,8
