page,clicks,impressions,ctr,position
https://palworld-chi.vercel.app/en/guide/world-tree,10,487,0.0205,8.5
https://palworld-chi.vercel.app/en/guide/endgame,3,142,0.0211,6.1
https://palworld-chi.vercel.app/ru/guide/world-tree,2,30,0.0667,8.0
https://palworld-chi.vercel.app/zh-TW/guide/fishing,2,7,0.2857,9.4
https://palworld-chi.vercel.app/de/pal/anubis/location,1,9,0.1111,12.6
https://palworld-chi.vercel.app/en/guide/base,1,10,0.1,4.9
https://palworld-chi.vercel.app/en/guide/passives,1,5,0.2,5.8
https://palworld-chi.vercel.app/en/pal/blazamut/location,1,25,0.04,9.2
https://palworld-chi.vercel.app/en/pal/penking/location,1,31,0.0323,9.6
https://palworld-chi.vercel.app/en/pal/woolipop/location,1,1,1,1
https://palworld-chi.vercel.app/zh-TW/guide/breeding,1,3,0.3333,11.3
https://palworld-chi.vercel.app/de/guide/materials,0,1,0,4
https://palworld-chi.vercel.app/de/guide/passives,0,1,0,6
https://palworld-chi.vercel.app/de/pal/anubis,0,1,0,9
https://palworld-chi.vercel.app/de/pal/celesdir,0,1,0,69
https://palworld-chi.vercel.app/de/pal/faleris,0,3,0,36.3
https://palworld-chi.vercel.app/de/pal/frostplume,0,1,0,9
https://palworld-chi.vercel.app/de/pal/gildane,0,3,0,57
https://palworld-chi.vercel.app/de/pal/helzephyr-lux,0,2,0,9
https://palworld-chi.vercel.app/de/pal/jetragon,0,2,0,4
https://palworld-chi.vercel.app/de/pal/lunaris,0,2,0,7
https://palworld-chi.vercel.app/de/pal/majex,0,2,0,9
https://palworld-chi.vercel.app/de/pal/mau-cryst,0,3,0,54
https://palworld-chi.vercel.app/de/pal/slowatt,0,2,0,10
https://palworld-chi.vercel.app/de/pal/starryon-primo,0,1,0,9
https://palworld-chi.vercel.app/de/pal/suzaku,0,1,0,67
https://palworld-chi.vercel.app/de/pal/sweepa,0,1,0,61
https://palworld-chi.vercel.app/de/pal/yakumo/breeding,0,1,0,65
https://palworld-chi.vercel.app/en/guide/beginner,0,3,0,6
https://palworld-chi.vercel.app/en/guide/breeding,0,2,0,83
https://palworld-chi.vercel.app/en/guide/faq,0,2,0,9.5
https://palworld-chi.vercel.app/en/guide/mobile,0,1,0,8
https://palworld-chi.vercel.app/en/guide/money,0,5,0,6.8
https://palworld-chi.vercel.app/en/items?category=Material,0,2,0,10
https://palworld-chi.vercel.app/en/pal/aegidron,0,3,0,7.7
