file,line,text,classification
app\[locale]\pals\page.tsx,27,图鉴,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,29,全,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,29,图鉴,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,29,按元素,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,29,攻击力,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,29,防御力筛选与排序,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,29,查找每一只,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,29,的属性,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,29,工作适性,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,29,技能与养殖信息,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,85,图鉴,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,87,只,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,87,按元素筛选,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,87,按编号,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,87,名称,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,87,攻击,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,87,防御排序,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,87,点击查看属性,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,87,工作适性,leak: metadata+页面文案不分语言
app\[locale]\pals\page.tsx,87,技能与养殖信息,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,15,物品数据库,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,17,全物品数据库,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,17,武器,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,17,防具,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,17,蓝图,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,17,材料,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,17,食物与饰品,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,17,搜索,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,17,按分类筛选与排序,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,17,查看哪些,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,17,掉落,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,78,物品数据库,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,80,件物品,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,80,个分类,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,80,搜索,leak: metadata+页面文案不分语言
app\[locale]\items\page.tsx,80,筛选,leak: metadata+页面文案不分语言
